Category,Task,Details / What to do,Status,Owner,Due Date,Priority,Notes / Links
Domain,Register primary domain,"Purchase and register business domain (e.g. orionmetalindustries.com.au or preferred .com.au)",Not Started,,,High,
Domain,Connect domain to Vercel,"Vercel → Project → Settings → Domains → add custom domain",Not Started,,,High,Current live URL: https://orionmetal.vercel.app/
Domain,Configure DNS records,"Add A/CNAME records at domain registrar as shown in Vercel",Not Started,,,High,
Domain,Enable HTTPS / SSL,"Verify SSL certificate is active after DNS propagation",Not Started,,,High,
Domain,Set NEXT_PUBLIC_SITE_URL,"Update Vercel env var to production domain (no trailing slash)",Not Started,,,High,
Domain,Add www redirect,"Decide www vs non-www and set redirect in Vercel",Not Started,,,Medium,
Business Email,Set up business email,"Create professional email (e.g. info@orionmetalindustries.com.au)",Not Started,,,High,Currently using Gmail for contact form only
Business Email,Configure email forwarding,"Forward business email to team inbox if needed",Not Started,,,Medium,
Business Email,Update website contact details,"Replace placeholder emails on Contact page / Footer if using new domain email",Not Started,,,High,
Business Email,Move off Gmail App Password (optional),"Migrate contact form SMTP to business email provider or transactional email (Resend/SendGrid)",Not Started,,,Medium,Current: orionmetalanand@gmail.com → anandanathurelangovan94@gmail.com
Website,Verify Vercel env variables,"Confirm all vars from .envvercel are set in Vercel Production",Not Started,,,High,
Website,Redeploy after env changes,"Trigger redeploy so contact form + Supabase work on live site",Not Started,,,High,
Website,Test contact form on live site,"Submit test enquiry on https://orionmetal.vercel.app/contact",Not Started,,,High,
Website,Test WhatsApp & phone links,"Verify all CTAs work on mobile and desktop",Not Started,,,Medium,
Website Updates,Replace stock images with real photos,"Swap Unsplash placeholders with actual workshop/product photos where ready",Not Started,,,Medium,Kiosk/pylon already use stock by request
Website Updates,Upload product images to Supabase,"Update products table image_url via Supabase or future CMS",Not Started,,,High,Run supabase/update-product-images.sql if needed
Website Updates,Upload project gallery images,"Add real project photos to projects section / Supabase",Not Started,,,Medium,
Website Updates,Update company logo if new version,"Replace /public/images/company/orion-logo.jpeg",Not Started,,,Low,
Website Updates,Add trusted customer logos,"Replace dummy customer names with real logos in Supabase trusted_customers table",Not Started,,,Medium,
Website Updates,Replace dummy Google reviews,"Add real reviews + Google links in Supabase google_reviews table",Not Started,,,High,
Profile Upload,Google Business Profile,"Create/claim Google Business Profile for 1A Bibby Ct Moorabbin VIC 3189",Not Started,,,High,
Profile Upload,Complete GBP listing,"Add hours phone photos services categories description",Not Started,,,High,
Profile Upload,Add GBP link to website,"Set NEXT_PUBLIC_GOOGLE_BUSINESS_URL in Vercel + Supabase review links",Not Started,,,Medium,
Profile Upload,Facebook Business Page,"Create/update Facebook Page for Orion Metal Industries",Not Started,,,Medium,
Profile Upload,Instagram Business Profile,"Create/update Instagram account with logo bio contact link",Not Started,,,Medium,
Profile Upload,LinkedIn Company Page (optional),"Create company page for B2B visibility",Not Started,,,Low,
Google Search Console,Create GSC account,"Sign up at search.google.com/search-console",Not Started,,,High,
Google Search Console,Verify domain ownership,"Verify via DNS TXT record or HTML tag in Vercel",Not Started,,,High,
Google Search Console,Submit sitemap,"Submit https://[your-domain]/sitemap.xml",Not Started,,,High,Sitemap auto-generated at /sitemap.xml
Google Search Console,Request indexing for key pages,"Inspect URL → Request indexing for Home About Services Contact Products",Not Started,,,Medium,
Google Search Console,Set preferred domain,"Confirm www vs non-www in GSC settings",Not Started,,,Medium,
GA4,Create GA4 property,"Google Analytics → Admin → Create Property for Orion Metal",Not Started,,,High,
GA4,Create web data stream,"Add data stream for production website URL",Not Started,,,High,
GA4,Install GA4 tag on website,"Add gtag script or @next/third-parties/google to layout.js",Not Started,,,High,Not yet implemented in codebase
GA4,Map key events,"Track: contact_form_submit whatsapp_click phone_click quote_cta",Not Started,,,High,
GA4,Link GA4 to Search Console,"Admin → Product Links → Search Console",Not Started,,,Medium,
GA4,Exclude internal traffic (optional),"Filter office/dev IP from reports",Not Started,,,Low,
GA4,Verify data in Realtime,"Confirm page views appear after deployment",Not Started,,,High,
Sitemap,Sitemap live check,"Open /sitemap.xml on production — confirm all pages listed",Not Started,,,High,Includes blog slugs from Supabase
Sitemap,Robots.txt check,"Open /robots.txt — confirm allows indexing + sitemap URL",Not Started,,,Medium,
